x1,x2,x3,x4,y1,y2,y3,y4,Score,Pass
"Hello! In order for you to change the ringtone for a specific contact, first you need to open the Contacts application on your phone. Then, find the contact you’re looking for. After that, press the detaols button and then the edit button. There should be an option to set a specific ringtone for that person from there. ","Hello! First, you should try unplugging the phone, wait 10 seconds, then plug it in to see if the phone registers the charger. If that doesn’t work, then unplug the phone and try turning it on. If the phone doesn’t turn off, there could be an underlying hardware issue with either your screen or your battery and might have to get it serviced at an Apple-certified service location. ","Hello! Every iPhone comes with an email application regardless of what iOS it is running. Find the mail application on your phone then open it. Since it would probably be the first time you open the app, it’ll ask you what service you use for email. You pick the Outlook option and it’ll bring up the log in screen. Sign into your Microsoft account and all your emails should sync with your device now. ","As an Anywhere Expert, I want to help people troubleshoot their various tech problems as well as gain new knowledge about tech that I’m not familiar with. As an Anywhere Expert, I’ll be helping customers troubleshoot their problems with excellent customer service and comprehensive instructions. ",0,0,0,92,,0
"to change the ringtone on an android you will have to click on the contact and there will be a setting to change the laptop
","On an iPhone 7 or iPhone 7 Plus: Press and hold both the Side and Volume Down buttons for at least 10 seconds, until you see the Apple logo.","Go to your device's Settings, scroll down and tap Accounts & 1words >Add Account. then choose Outlook.com and add your full email address. 
You may need to approve certain permissions such as accessing your calendar and contacts. To agree, tap Yes.
Choose the services you want to sync with your iOS device and Now you're all set to go! ",i think i will helping people with problems regarding tech and i just like helping people ,0,1,1,0,,0
"Hi Reggie! To change the ringtone for a specific contact on the Galaxy S8+, first go the Settings application in the App Screen. Then, open Contacts, then tap on the specific contact that you want to edit. Tap on Contact Details, then Edit. Tap on More settings, then Ringtone. From here, select the specific ringtone you want for that contact, then tap OK to confirm. Your specified ringtone is now set for that contact!","Hi Jamie! I'd be glad to help. First, check to see that the phone is powered on by pressing the power button. Then, try to Force Reboot the phone by pressing and holding the Power and Home buttons at the same time for about 30 seconds. If the Apple logo does not come on the screen, then check the Lightning cable you are using to charge the phone, and possibly try charging with another Lightning cable. If none of these solutions work, you may need to bring your iPhone to a certified Apple technician. You can book an appointment at your local Apple store here: https://support.apple.com/repair
","Hi Timothy! I'd be happy to help you out. 
First, let's confirm that you have the latest iOS version installed on your phone. To do that, go to Settings, then General, then Software Update. This screen will tell you if you have the latest version of iOS installed, or if you need to update. Once you are updated to the latest version of iOS, we can move on to putting your Outlook.com email onto your iPhone. You can either input your account information into the Mail application included in iOS, or download Outlook from the App Store. 
To input your Outlook.com account into Mail, first go to Settings, then Accounts & 1words. Under the Accounts section, go to Add Account, then click on Outlook.com. This will take you to a screen to input your Outlook.com email and 1word. When this is completed, your Outlook.com email will be received in the Mail app. ",I want to help people make the best use of their devices to fit their needs. Software is often design with a broad audience in mind with a myriad of goals. I'm here to help people achieve their specific goals. I like helping people and learning about how they use their devices. I am easy to talk to and like to bring comfort to people who are having problems. ,1,0,0,84,,0
"Hi there! From the home screen, swipe up on an empty spot to open up the Apps tray. From there, you can tap onto contacts, open the desired name you'd like the ringtone for. Then you can select, EDIT, tap MORE afterward, then tap ringtone. After you've completed these steps, you should see Allow Storage permission, you must select, 'ALLOW'. Then, you can select the desired ringtone to assign it to the specific contact then tap OK. You can now exit the menu by pressing the back arrow in the upper left hand corner of your screen and it will save!","Hello-hello! Press the LOCK button, as well as the HOME button for about 8 seconds, then let go. Your screen should then pop up again and be as good as new!","Hello there! Open up the settings app on your iPhone. From there, scroll down and select ""Accounts & 1word"" from the list of options. After you're in,  tap onto 'Add Account', and choose the email service you'd like to sign on into. Now that you've completed those steps, you should be able to sync your Outlook inbox and everything else to your iPhone! Be sure to choose save afterward, it is located in the upper right-hand part of your screen.","I think I'll be preforming tasks such as helping people out with anything technology related! Being able to assist others with their items of technology has always been a pastime of mine and I've been looking about to further expanse mine and others knowledge in the field! Surely, it'll be a fun experience overall with any and all parties involved.",0,0,1,66,,0
"Hi, my name is Sunny. I would be happy to help you with changing the ringtone of a specific contact. Is the specific  contact saved to your phone or sim? Be sure it's saved to your phone as the needed features might not be available to you otherwise. Great! Go to Phone > Contacts > select person > select ""Details"" (info sign) > EDIT (Top of screen) > View more (Just above ""Scan Business Card"") > scroll down and you will see ringtone click that (allow permission 1st time) and it will bring up tones for you. Did this resolve all your issues?","Hi Jamie, my name is Sunny & I'll be happy to help you with your phone screen shutting off and not coming back on. Find the sleep/wake button and volume button. Next, press and hold down the Sleep/Wake button and the Volume Down button at the same time.Keep holding down the button combo until you see an Apple logo appear on screen (your iPhone screen will go dark before the Apple logo appears). iOS devices with white faceplates will show a white launch screen. iOS devices with black faceplates will show a black launch screen.When the launch screen appears, you can let go of the button combo.
Once your iPhone has rebooted, check to see if it stays on and operational.You may also want to try a different charger. Did this resolve your issue?
Great! Thank you & don't hesitate to contact us again if you need further help. Have a wonderful day!","Hi Timothy, my name is Sunny & I'll be happy to help you add Outlook.com to your iphone. First go to ""settings"" app & tap on ""mail, contacts, calanders"". Next, tap on ""add account"" then tap on Outlook.com. You find this okay? Awesome! Now enter your Outlook.com username & 1word. Tap ""next"" in the upper right hand corner. Choose the services you'd like to enable and sync with Outlook and then tap Save in the upper right hand corner. That's it! Did this resolve your problem? 
Great! Please contact us again for help with anything else. Have a fantastic day!",I think I will be helping people with technical issues on their electronic devices. I want to be an Anywhere Expert as it looks like something I can do. I like helping people so this is a great way to make extra money.,1,1,0,82,,1
What's problem,Take if off charger try to cut it back on if that work give it a min for you cut back on,Go to website and type name what you are look for ,I have a iPhone and no how to work it good now I no how work any phone. I be good with expert love phone,0,0,0,0,,0
"Hi there! To change your ring tone with a Galaxy S8, you would first swipe down from the top of your phone and select Settings. Once in Settings scroll down til you see Sounds and Vibration.
Tap on Ring tone and the scroll til you find the Ring tone that works best for you. 
If you scroll to the very bottom and tap Add from phone you can add custom ring tones that way also! ",Press and hold the Side button and the Volume Down button for at least 10 seconds. ,"First step will be to open up your Settings app. Once there, scroll down and select ""accounts and 1words"" from the list of options. From this menu, tap ""Add Account"" and then choose the email service (Outlook) that you want to sign into.
Once you've chosen your email service, simply follow the on-screen instructions it provides. ",I will most likely be working as an anywhere expert from home. I want to be an Anywhere Expert because I feel I have a lot of knowledge to share and I also love assisting others. ,0,1,1,100,,1
"Hello Reggie. My name is Madison and I would be happy to help you today with anything you may need today. To change the ringtone for a specfic contact on your Galaxy s8+, you will just need to take a few easy steps.
To start out, go ahead and open up your contacts on your phone. 
Once you have your contacts open, go ahead and select the desired contact  to add a personalized ringtone for.
Next, Tap the desired Contact name > Details.
Tap EDIT.
Tap More.
Tap Ringtone.
Tap Allow Storage permission > ALLOW.
Tap the desired ringtone to assign it to the contact and then tap OK.
Does this help with finding the right ringtone for the contact? Great. 
Is there anything else you needed help with today?
Great. So today we assisted you in changing a ringtone for a specific contact. IF theres anything else I can help with, please let me know. Thank you and have a great day!
","Hi Jamie, My name is Madison and I would be happy to help you with turning on your iPhone 7. 
To get started-
Do you think it could be an issue with your outlet or charger?
If you have another charger available, try plugging it into a different outlet and see if it will turn on. 
(Doesnt have another charger)
Ok, no problem. We can figure this out.
Have you tried unplugging it and turning it back on with the Sleep/Wake button on the side?
Go ahead and try to unplug it and use the button on the side to restart. 
Please let me know when you have completed that.
Great! Glad that worked for you. 
Is there anything else I can help with today?
Thank you Jamie, hope you have a great rest of your day!



","Hi Timothy, My name is Madison and I'd be happy to help you add your outlook.com email to your new iPhone.
What model of iPhone do currently have?
Awesome! iPhone X, those look pretty nice!
To add your email, 
Launch the Settings app on your iPhone or iPad.
Tap on Mail, Contacts, Calendars.
Tap on Add Account.
Tap on Outlook.com.
Enter your Outlook.com username and 1word and then tap Next in the upper right hand corner.
Choose the services you'd like to enable and sync with Outlook and then tap Save in the upper right hand corner.

Once this is done, please let me know if works.

Great! Is there anything else I can help you with today?

Thank you for your patience, have a great day!",I think I would be assisting customers in issues with their devices. I want to work with a company that values customers and wants to genuinely help others. I want a remote position where I can use my knowledge and skills to learn more and help with problems I KNOW I can fix every single day.,1,0,0,62,,0
"Go to ""apps"" touch the desired contact, click edit, scroll down and click ringtone, choose and touch the particular ringtone and click ok. That should do it.

","Hi, this is Wenona, I will do my best to help you as quickly as possible. Would give me a second please. OK, first lets try holding the on/off button for 20 to 30 seconds. When the Apple logo appears, let go of the button and allow the phone to startup. Did it come on? good, so did I help you get what you needed. Great, is there anything else I can do for you? No, thank you, I'm glad I could help and thanks for contacting us. Have a great weekend!","Hi, this is Wenona I will be happy to try and help you with this issue. Lets try this first, Launch the Settings app on your iPhone or iPad. Tap on Mail, then tap on ""Add Account"". tap on ""Outlook.com"". Enter your Outlook.com username and 1word and then tap ""Next"" in the upper right hand corner. Did that work? Great so you have added your Outlook.com email to your iphone? Will there be anything else I can do to assist you? Well you have a great evening as well!
","I will spend time online chatting with customers/potential customers by providing technical support for electronics, etc. I will be answering their questions in real time, hopefully with precision. I will be providing live, immediate help online. Wait times are quicker than with a call center. I can possibly handle multiple chats simultaneously. Chatting online means customers have someone who can immediately walk them through an issue and alleivate confusion.",0,0,0,76,,0
Hello. I would be glad to help you change the ringtone of a specific contact on your galaxy s8+,You were charging your iPhone 7 and it shut off now it won’t turn back on? ,I would love to help you set your outlook. com email on your new iphone. ,I think i will be helping those who are having trouble working certain things in their phones. i want to work with anywhere expert because i love solving problems and helping people out. ,0,0,0,0,,0
"Hi, I'd be happy to help you change your ringtone for a specific person. First open up the Phone or Contacts app, and tap on the contact you want to edit.
Then tap the pencil icon in the top right and then tap on the three-dot menu on the top right which should show you a few options.
Tap on ""Set ringtone"" which will open a menu of ringtones for you to choose from.","Hi Jamie, I can help you with getting your iPhone 7 to turn back on. Press and hold both the Side and Volume Down buttons for at least 10 seconds until you see the Apple logo. If it still won't turn on, try charging it for 10 minutes.","No problem, I can help you add your Outlook email. Go to your iPhone's Settings page, tap on ""Accounts & 1words"" and then ""Add Account"". Then choose Outlook.com and enter in your email and 1word.","I think I'll be helping people resolve technical issues with their phones/tablets/computers, and I want to be an Anywhere Expert so that I can help others resolve their technical problems. I know how frustrating it can be, and sometimes it can be a simple fix that someone else knows but you don't. I believe that Anywhere Expert will help others to be more efficient in their day to day life and I would like to be a part of that.",0,1,1,100,,1
"Hi Reggie, I will be happy to assist you!","Press and hold both the Side and Volume Down buttons for at least 10 seconds, until you see the Apple logo.","Go to Settings > Accounts & 1words and tap Add Account. If you're using iOS 10.3.3 or earlier, go to Settings > Mail > Accounts and tap Add Account. Tap your email provider. If you don't see your email provider, tap Other to add your account manually. Enter your email address and 1word. Tap Next and wait for Mail to verify your account. Choose information from your email account, like Contacts or Calendars, that you want to see on your device. Tap Save.",I will be assisting individuals who are having issues with their cellphone devices.    I consider myself a techie and I would love to do something that I like.,0,1,1,100,,1
"Hi! My name is Marlon and it would be my pleasure helping you with changing your ringtone. The first thing  need you to do is from your Home screen swipe Up or Down to display all apps. Once you have done that you want find the settings icon. The icon should look like a gear, once you are in the settings menu you will need to locate Sounds and Vibrations. Once you tap into Sounds and Vibrations you should see Ringtones tap Ringtones and from there you should be able to assign any ringtone to your phone.","Hi Jamie! Im sorry to hear about your iPhone screen shutting off. My name is Marlon and let me assure you that will get this problem taken care of. What we will try to do first is a Force Shut Down. Now in order to do this you will need to locate the side button and the volume down button on your phone. Once you have located these buttons you will need to press them BOTH at the same time for about 10 Seconds or until you see the apple logo pop up. Once you see the logo pop up you phone should work properly,","Hi Timothy! My name is Marlon and it would be a great pleasure to help you with adding your Outlook account to your iPhone. The first question i want to ask, Are you currently connected to a wifi source? If not I will need you to connect to one. If you are we will move to the next step. The next step is locating your settings on your phone the icon for settings should look like a toolbox. Once you have opened up the settings menu you will need to tap on the Accounts and 1words menu. When there, you will need to tap Add Account. Once you have tapped Add Account you will need to tap Other. After you have tapped Other you will need to press Add Mail Account. Once there you will need to enter Name, Email Address,1word and description for your account. Once that is completed you need to tap Next. After tapping Next your phone should be updated with that new information. If there is not anything else i can assist you with my name is Marlon and thank you for using Anywhere experts.","I believe I will be helping countless number of people who aren't as up to date with tech as myself or others. Also I want to be an Anywhere expert because i already help people with technology on my own, but now I have an opportunity to work with 5 Star company to help people which makes it all the better.",0,1,1,47,,0
"Hello, my name is Jonathan. I would be happy to assist you with your contact ringtones. Go to your contacts and pick the specific contact you want the ringtone for and go to details. Once there tap edit then you will see ""more"" tap there and then ringtone. You should have storage permissions allowed so you should be able to choose the ringtone you want for your contact. Is that all you need? If so I hope you have a wonderful day. ","Hello, my name is Jonathan and I would be happy to assist you. I would recommend doing a force restart. So you would have to hold down the volume down button and the Power button at the same time for 10-20 seconds until you see the apple logo. Did this solve your problem? If so I am happy that I was able to assist you. I hope you have a wonderful day.","Hello, my name is Jonathan and I would be happy to assist you. Please launch your settings app and locate mail,contacts, and calender. Once you see it tap it and you should see add account. Tap it and you should the Outlook email and you should be able to add your outlook email. Once done you should be able to sync the services you want for the email and save. Have I solved your question? If so I hope you have a wonderful day.",What I think I would be doing is assisting people with their tech problems anywhere and everywhere. And why I want to be and Anywhere Expert is to give people more knowledge about their tech problems and also the flexible schedule I can have.,1,1,0,100,,1
"Open the Settings and find Sounds and vibration.
Tap on Ringtone and then scroll through the list to find one you want. ...
If you want to add a custom ringtone, scroll to the very bottom and tap Add from phone.","Are you certain the battery is charged. When you did the reset, did you hold both the Home and Power buttons long enough (up to 30 seconds)?","Go to the Home screen.
Open Settings.
Select Mail, Contacts, Calendars.
Tap the desired Exchange account under Accounts.
Now tap Mail Folders to Push.","Helping others should be a natural extension of every business leader’s responsibilities. Unfortunately, it doesn’t come as easy as you would think. As leaders, we often get too caught up in operations or our own problems to give people the help they need. However, in the last year, I’ve realized that most of my best clients, partners and relationships have come from me helping someone.",0,0,0,100,,0
